Particulars,Frequency,Unit,Year,Value
Agricultural Production Foodgrains Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton mn,2006,16.951
Agricultural Production Foodgrains Volume Assam,"Annual, Ending mar Of Each Year",Ton mn,2006,3.6778
Agricultural Production Foodgrains Volume Bihar,"Annual, Ending mar Of Each Year",Ton mn,2006,8.5868
Agricultural Production Foodgrains Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton mn,2006,5.7148
Agricultural Production Foodgrains Volume Gujarat,"Annual, Ending mar Of Each Year",Ton mn,2006,6.154
Agricultural Production Foodgrains Volume Haryana,"Annual, Ending mar Of Each Year",Ton mn,2006,12.9981
Agricultural Production Foodgrains Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton mn,2006,2.0676
Agricultural Production Foodgrains Volume Karnataka,"Annual, Ending mar Of Each Year",Ton mn,2006,13.489
Agricultural Production Foodgrains Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton mn,2006,13.195
Agricultural Production Foodgrains Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton mn,2006,12.087
Agricultural Production Foodgrains Volume Orissa,"Annual, Ending mar Of Each Year",Ton mn,2006,7.3597
Agricultural Production Foodgrains Volume Punjab,"Annual, Ending mar Of Each Year",Ton mn,2006,25.1842
Agricultural Production Foodgrains Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton mn,2006,11.445
Agricultural Production Foodgrains Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton mn,2006,6.1272
Agricultural Production Foodgrains Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton mn,2006,40.4102
Agricultural Production Foodgrains Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton mn,2006,1.594
Agricultural Production Foodgrains Volume West Bengal,"Annual, Ending mar Of Each Year",Ton mn,2006,15.6089
Agricultural Production Foodgrains Volume Others,"Annual, Ending mar Of Each Year",Ton mn,2006,5.94
Agricultural Production Foodgrains Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2006,2365.0
Agricultural Production Foodgrains Yield Assam,"Annual, Ending mar Of Each Year",kg/ha,2006,1416.0
Agricultural Production Foodgrains Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,2006,1311.0
Agricultural Production Foodgrains Yield Chhattisgarh,"Annual, Ending mar Of Each Year",kg/ha,2006,1111.0
Agricultural Production Foodgrains Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,2006,1551.0
Agricultural Production Foodgrains Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2006,3045.0
Agricultural Production Foodgrains Yield Jharkhand,"Annual, Ending mar Of Each Year",kg/ha,2006,1073.0
Agricultural Production Foodgrains Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,2006,1776.0
Agricultural Production Foodgrains Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2006,1130.0
Agricultural Production Foodgrains Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,2006,948.0
Agricultural Production Foodgrains Yield Orissa,"Annual, Ending mar Of Each Year",kg/ha,2006,1349.0
Agricultural Production Foodgrains Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2006,3986.0
Agricultural Production Foodgrains Yield Rajasthan,"Annual, Ending mar Of Each Year",kg/ha,2006,919.0
Agricultural Production Foodgrains Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,2006,1847.0
Agricultural Production Foodgrains Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2006,2057.0
Agricultural Production Foodgrains Yield Uttaranchal,"Annual, Ending mar Of Each Year",kg/ha,2006,1548.0
Agricultural Production Foodgrains Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,2006,2423.0
Agricultural Production Foodgrains Rice Area,"Annual, Ending mar Of Each Year",ha mn,2006,43.66
Agricultural Production Foodgrains Rice Volume,"Annual, Ending mar Of Each Year",Ton mn,2006,91.79
Agricultural Production Foodgrains Rice Yield,"Annual, Ending mar Of Each Year",kg/ha,2006,2102.0
Agricultural Production Foodgrains Rice Area Andhra Pradesh,"Annual, Ending mar Of Each Year",ha mn,2006,3.98
Agricultural Production Foodgrains Rice Area Assam,"Annual, Ending mar Of Each Year",ha mn,2006,2.42
Agricultural Production Foodgrains Rice Area Bihar,"Annual, Ending mar Of Each Year",ha mn,2006,3.25
Agricultural Production Foodgrains Rice Area Chhattisgarh,"Annual, Ending mar Of Each Year",ha mn,2006,3.75
Agricultural Production Foodgrains Rice Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,2006,0.67
Agricultural Production Foodgrains Rice Area Haryana,"Annual, Ending mar Of Each Year",ha mn,2006,1.05
Agricultural Production Foodgrains Rice Area Jharkland,"Annual, Ending mar Of Each Year",ha mn,2006,1.35
Agricultural Production Foodgrains Rice Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,2006,1.49
Agricultural Production Foodgrains Rice Area Kerala,"Annual, Ending mar Of Each Year",ha mn,2006,0.28
Agricultural Production Foodgrains Rice Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,2006,1.66
Agricultural Production Foodgrains Rice Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,2006,1.52
Agricultural Production Foodgrains Rice Area Orissa,"Annual, Ending mar Of Each Year",ha mn,2006,4.48
Agricultural Production Foodgrains Rice Area Punjab,"Annual, Ending mar Of Each Year",ha mn,2006,2.64
Agricultural Production Foodgrains Rice Area Tamil Nadu,"Annual, Ending mar Of Each Year",ha mn,2006,2.05
Agricultural Production Foodgrains Rice Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,2006,5.58
Agricultural Production Foodgrains Rice Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,2006,5.78
Agricultural Production Foodgrains Rice Area Others,"Annual, Ending mar Of Each Year",ha mn,2006,1.71
Agricultural Production Foodgrains Rice Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,2006,11704.0
Agricultural Production Foodgrains Rice Volume Arunachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2006,146.2
Agricultural Production Foodgrains Rice Volume Assam,"Annual, Ending mar Of Each Year",Ton th,2006,3552.5
Agricultural Production Foodgrains Rice Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,2006,3495.5
Agricultural Production Foodgrains Rice Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,2006,5011.6
Agricultural Production Foodgrains Rice Volume Goa,"Annual, Ending mar Of Each Year",Ton th,2006,147.3
Agricultural Production Foodgrains Rice Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,2006,1298.0
Agricultural Production Foodgrains Rice Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,2006,3210.0
Agricultural Production Foodgrains Rice Volume Himachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2006,112.1
Agricultural Production Foodgrains Rice Volume Jammu and Kashmir,"Annual, Ending mar Of Each Year",Ton th,2006,556.8
Agricultural Production Foodgrains Rice Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton th,2006,1558.0
Agricultural Production Foodgrains Rice Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,2006,5744.0
Agricultural Production Foodgrains Rice Volume Kerala,"Annual, Ending mar Of Each Year",Ton th,2006,629.9
Agricultural Production Foodgrains Rice Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,2006,1656.3
Agricultural Production Foodgrains Rice Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,2006,2695.0
Agricultural Production Foodgrains Rice Volume Manipur,"Annual, Ending mar Of Each Year",Ton th,2006,388.1
Agricultural Production Foodgrains Rice Volume Meghalaya,"Annual, Ending mar Of Each Year",Ton th,2006,151.9
Agricultural Production Foodgrains Rice Volume Mizoram,"Annual, Ending mar Of Each Year",Ton th,2006,99.2
Agricultural Production Foodgrains Rice Volume Nagaland,"Annual, Ending mar Of Each Year",Ton th,2006,263.1
Agricultural Production Foodgrains Rice Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,2006,6859.0
Agricultural Production Foodgrains Rice Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2006,10193.0
Agricultural Production Foodgrains Rice Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2006,153.0
Agricultural Production Foodgrains Rice Volume Sikkim,"Annual, Ending mar Of Each Year",Ton th,2006,21.5
Agricultural Production Foodgrains Rice Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,2006,5220.0
Agricultural Production Foodgrains Rice Volume Tripura,"Annual, Ending mar Of Each Year",Ton th,2006,552.9
Agricultural Production Foodgrains Rice Volume Union Territories,"Annual, Ending mar Of Each Year",Ton th,2006,140.0
Agricultural Production Foodgrains Rice Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2006,11133.7
Agricultural Production Foodgrains Rice Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,2006,590.0
Agricultural Production Foodgrains Rice Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,2006,14510.8
Agricultural Production Foodgrains Rice Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2006,2939.0
Agricultural Production Foodgrains Rice Yield Assam,"Annual, Ending mar Of Each Year",kg/ha,2006,1468.0
Agricultural Production Foodgrains Rice Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,2006,1075.0
Agricultural Production Foodgrains Rice Yield Chhattisgarh,"Annual, Ending mar Of Each Year",kg/ha,2006,1337.0
Agricultural Production Foodgrains Rice Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,2006,1949.0
Agricultural Production Foodgrains Rice Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2006,3051.0
Agricultural Production Foodgrains Rice Yield Jharkland,"Annual, Ending mar Of Each Year",kg/ha,2006,1150.0
Agricultural Production Foodgrains Rice Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,2006,3868.0
Agricultural Production Foodgrains Rice Yield Kerala,"Annual, Ending mar Of Each Year",kg/ha,2006,2284.0
Agricultural Production Foodgrains Rice Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2006,999.0
Agricultural Production Foodgrains Rice Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,2006,1779.0
Agricultural Production Foodgrains Rice Yield Orissa,"Annual, Ending mar Of Each Year",kg/ha,2006,1531.0
Agricultural Production Foodgrains Rice Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2006,3858.0
Agricultural Production Foodgrains Rice Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,2006,2546.0
Agricultural Production Foodgrains Rice Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2006,1996.0
Agricultural Production Foodgrains Rice Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,2006,2509.0
Agricultural Production Foodgrains Wheat Area,"Annual, Ending mar Of Each Year",ha mn,2006,26.48
Agricultural Production Foodgrains Wheat Volume,"Annual, Ending mar Of Each Year",Ton mn,2006,69.35
Agricultural Production Foodgrains Wheat Yield,"Annual, Ending mar Of Each Year",kg/ha,2006,2619.0
Agricultural Production Foodgrains Wheat Area Assam,"Annual, Ending mar Of Each Year",ha mn,2006,0.05
Agricultural Production Foodgrains Wheat Area Bihar,"Annual, Ending mar Of Each Year",ha mn,2006,2.0
Agricultural Production Foodgrains Wheat Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,2006,0.92
Agricultural Production Foodgrains Wheat Area Haryana,"Annual, Ending mar Of Each Year",ha mn,2006,2.3
Agricultural Production Foodgrains Wheat Area Himachal Pradesh,"Annual, Ending mar Of Each Year",ha mn,2006,0.36
Agricultural Production Foodgrains Wheat Area Jammu and Kashmir,"Annual, Ending mar Of Each Year",ha mn,2006,0.25
Agricultural Production Foodgrains Wheat Area Jharkhand,"Annual, Ending mar Of Each Year",ha mn,2006,0.06
Agricultural Production Foodgrains Wheat Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,2006,0.25
Agricultural Production Foodgrains Wheat Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,2006,3.69
Agricultural Production Foodgrains Wheat Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,2006,0.93
Agricultural Production Foodgrains Wheat Area Punjab,"Annual, Ending mar Of Each Year",ha mn,2006,3.47
Agricultural Production Foodgrains Wheat Area Rajasthan,"Annual, Ending mar Of Each Year",ha mn,2006,2.12
Agricultural Production Foodgrains Wheat Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,2006,9.16
Agricultural Production Foodgrains Wheat Area Uttaranchal,"Annual, Ending mar Of Each Year",ha mn,2006,0.4
Agricultural Production Foodgrains Wheat Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,2006,0.37
Agricultural Production Foodgrains Wheat Area Others,"Annual, Ending mar Of Each Year",ha mn,2006,0.15
Agricultural Production Foodgrains Wheat Volume Arunachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2006,6.1
Agricultural Production Foodgrains Wheat Volume Assam,"Annual, Ending mar Of Each Year",Ton th,2006,53.7
Agricultural Production Foodgrains Wheat Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,2006,3239.0
Agricultural Production Foodgrains Wheat Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,2006,90.7
Agricultural Production Foodgrains Wheat Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,2006,2473.0
Agricultural Production Foodgrains Wheat Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,2006,8857.0
Agricultural Production Foodgrains Wheat Volume Himachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2006,679.0
Agricultural Production Foodgrains Wheat Volume Jammu and Kashmir,"Annual, Ending mar Of Each Year",Ton th,2006,444.0
Agricultural Production Foodgrains Wheat Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton th,2006,77.7
Agricultural Production Foodgrains Wheat Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,2006,217.0
Agricultural Production Foodgrains Wheat Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,2006,5957.7
Agricultural Production Foodgrains Wheat Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,2006,1300.0
Agricultural Production Foodgrains Wheat Volume Meghalaya,"Annual, Ending mar Of Each Year",Ton th,2006,1.2
Agricultural Production Foodgrains Wheat Volume Nagaland,"Annual, Ending mar Of Each Year",Ton th,2006,1.9
Agricultural Production Foodgrains Wheat Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,2006,4.5
Agricultural Production Foodgrains Wheat Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2006,14493.0
Agricultural Production Foodgrains Wheat Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2006,5865.3
Agricultural Production Foodgrains Wheat Volume Sikkim,"Annual, Ending mar Of Each Year",Ton th,2006,9.0
Agricultural Production Foodgrains Wheat Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,2006,0.0
Agricultural Production Foodgrains Wheat Volume Tripura,"Annual, Ending mar Of Each Year",Ton th,2006,2.9
Agricultural Production Foodgrains Wheat Volume Union Territories,"Annual, Ending mar Of Each Year",Ton th,2006,80.5
Agricultural Production Foodgrains Wheat Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2006,24073.8
Agricultural Production Foodgrains Wheat Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,2006,645.0
Agricultural Production Foodgrains Wheat Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,2006,773.5
Agricultural Production Foodgrains Wheat Yield Assam,"Annual, Ending mar Of Each Year",kg/ha,2006,1074.0
Agricultural Production Foodgrains Wheat Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,2006,1617.0
Agricultural Production Foodgrains Wheat Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,2006,2700.0
Agricultural Production Foodgrains Wheat Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2006,3844.0
Agricultural Production Foodgrains Wheat Yield Himachal Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2006,1894.0
Agricultural Production Foodgrains Wheat Yield Jammu and Kashmir,"Annual, Ending mar Of Each Year",kg/ha,2006,1790.0
Agricultural Production Foodgrains Wheat Yield Jharkhand,"Annual, Ending mar Of Each Year",kg/ha,2006,1340.0
Agricultural Production Foodgrains Wheat Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,2006,858.0
Agricultural Production Foodgrains Wheat Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2006,1613.0
Agricultural Production Foodgrains Wheat Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,2006,1393.0
Agricultural Production Foodgrains Wheat Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2006,4179.0
Agricultural Production Foodgrains Wheat Yield Rajasthan,"Annual, Ending mar Of Each Year",kg/ha,2006,2762.0
Agricultural Production Foodgrains Wheat Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2006,2627.0
Agricultural Production Foodgrains Wheat Yield Uttaranchal,"Annual, Ending mar Of Each Year",kg/ha,2006,1633.0
Agricultural Production Foodgrains Wheat Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,2006,2109.0
Agricultural Production Foodgrains Coarse Cereals Area,"Annual, Ending mar Of Each Year",ha mn,2006,29.04
Agricultural Production Foodgrains Coarse Cereals Volume,"Annual, Ending mar Of Each Year",Ton mn,2006,34.07
Agricultural Production Foodgrains Coarse Cereals Yield,"Annual, Ending mar Of Each Year",kg/ha,2006,1172.0
Agricultural Production Foodgrains Coarse Cereals Area Andhra Pradesh,"Annual, Ending mar Of Each Year",ha mn,2006,1.39
Agricultural Production Foodgrains Coarse Cereals Area Bihar,"Annual, Ending mar Of Each Year",ha mn,2006,0.7
Agricultural Production Foodgrains Coarse Cereals Area Chhattisgarh,"Annual, Ending mar Of Each Year",ha mn,2006,0.35
Agricultural Production Foodgrains Coarse Cereals Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,2006,1.61
Agricultural Production Foodgrains Coarse Cereals Area Haryana,"Annual, Ending mar Of Each Year",ha mn,2006,0.72
Agricultural Production Foodgrains Coarse Cereals Area Himachal Pradesh,"Annual, Ending mar Of Each Year",ha mn,2006,0.33
Agricultural Production Foodgrains Coarse Cereals Area Jammu and Kashmir,"Annual, Ending mar Of Each Year",ha mn,2006,0.35
Agricultural Production Foodgrains Coarse Cereals Area Jharkhand,"Annual, Ending mar Of Each Year",ha mn,2006,0.22
Agricultural Production Foodgrains Coarse Cereals Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,2006,3.88
Agricultural Production Foodgrains Coarse Cereals Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,2006,2.04
Agricultural Production Foodgrains Coarse Cereals Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,2006,6.87
Agricultural Production Foodgrains Coarse Cereals Area Orissa,"Annual, Ending mar Of Each Year",ha mn,2006,0.17
Agricultural Production Foodgrains Coarse Cereals Area Punjab,"Annual, Ending mar Of Each Year",ha mn,2006,0.18
Agricultural Production Foodgrains Coarse Cereals Area Rajasthan,"Annual, Ending mar Of Each Year",ha mn,2006,6.77
Agricultural Production Foodgrains Coarse Cereals Area Tamil Nadu,"Annual, Ending mar Of Each Year",ha mn,2006,0.74
Agricultural Production Foodgrains Coarse Cereals Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,2006,2.15
Agricultural Production Foodgrains Coarse Cereals Area Uttaranchal,"Annual, Ending mar Of Each Year",ha mn,2006,0.27
Agricultural Production Foodgrains Coarse Cereals Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,2006,0.07
Agricultural Production Foodgrains Coarse Cereals Area Others,"Annual, Ending mar Of Each Year",ha mn,2006,4.13
Agricultural Production Foodgrains Coarse Cereals Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,2006,3862.0
Agricultural Production Foodgrains Coarse Cereals Volume Arunachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2006,80.3
Agricultural Production Foodgrains Coarse Cereals Volume Assam,"Annual, Ending mar Of Each Year",Ton th,2006,17.6
Agricultural Production Foodgrains Coarse Cereals Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,2006,1405.5
Agricultural Production Foodgrains Coarse Cereals Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,2006,159.3
Agricultural Production Foodgrains Coarse Cereals Volume Goa,"Annual, Ending mar Of Each Year",Ton th,2006,1.0
Agricultural Production Foodgrains Coarse Cereals Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,2006,1836.0
Agricultural Production Foodgrains Coarse Cereals Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,2006,813.0
Agricultural Production Foodgrains Coarse Cereals Volume Himachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2006,570.7
Agricultural Production Foodgrains Coarse Cereals Volume Jammu and Kashmir,"Annual, Ending mar Of Each Year",Ton th,2006,467.7
Agricultural Production Foodgrains Coarse Cereals Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton th,2006,259.6
Agricultural Production Foodgrains Coarse Cereals Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,2006,6564.0
Agricultural Production Foodgrains Coarse Cereals Volume Kerala,"Annual, Ending mar Of Each Year",Ton th,2006,1.5
Agricultural Production Foodgrains Coarse Cereals Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,2006,2348.4
Agricultural Production Foodgrains Coarse Cereals Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,2006,6087.0
Agricultural Production Foodgrains Coarse Cereals Volume Manipur,"Annual, Ending mar Of Each Year",Ton th,2006,7.9
Agricultural Production Foodgrains Coarse Cereals Volume Meghalaya,"Annual, Ending mar Of Each Year",Ton th,2006,26.4
Agricultural Production Foodgrains Coarse Cereals Volume Mizoram,"Annual, Ending mar Of Each Year",Ton th,2006,22.7
Agricultural Production Foodgrains Coarse Cereals Volume Nagaland,"Annual, Ending mar Of Each Year",Ton th,2006,120.1
Agricultural Production Foodgrains Coarse Cereals Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,2006,159.9
Agricultural Production Foodgrains Coarse Cereals Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2006,472.0
Agricultural Production Foodgrains Coarse Cereals Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2006,4528.6
Agricultural Production Foodgrains Coarse Cereals Volume Sikkim,"Annual, Ending mar Of Each Year",Ton th,2006,63.7
Agricultural Production Foodgrains Coarse Cereals Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,2006,730.2
Agricultural Production Foodgrains Coarse Cereals Volume Tripura,"Annual, Ending mar Of Each Year",Ton th,2006,2.2
Agricultural Production Foodgrains Coarse Cereals Volume Union Territories,"Annual, Ending mar Of Each Year",Ton th,2006,17.5
Agricultural Production Foodgrains Coarse Cereals Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2006,2971.2
Agricultural Production Foodgrains Coarse Cereals Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,2006,323.0
Agricultural Production Foodgrains Coarse Cereals Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,2006,150.3
Agricultural Production Foodgrains Coarse Cereals Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2006,2772.0
Agricultural Production Foodgrains Coarse Cereals Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,2006,2021.0
Agricultural Production Foodgrains Coarse Cereals Yield Chhattisgarh,"Annual, Ending mar Of Each Year",kg/ha,2006,460.0
Agricultural Production Foodgrains Coarse Cereals Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,2006,1142.0
Agricultural Production Foodgrains Coarse Cereals Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2006,1124.0
Agricultural Production Foodgrains Coarse Cereals Yield Himachal Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2006,1715.0
Agricultural Production Foodgrains Coarse Cereals Yield Jammu and Kashmir,"Annual, Ending mar Of Each Year",kg/ha,2006,1344.0
Agricultural Production Foodgrains Coarse Cereals Yield Jharkhand,"Annual, Ending mar Of Each Year",kg/ha,2006,1165.0
Agricultural Production Foodgrains Coarse Cereals Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,2006,1693.0
Agricultural Production Foodgrains Coarse Cereals Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2006,1150.0
Agricultural Production Foodgrains Coarse Cereals Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,2006,887.0
Agricultural Production Foodgrains Coarse Cereals Yield Orissa,"Annual, Ending mar Of Each Year",kg/ha,2006,968.0
Agricultural Production Foodgrains Coarse Cereals Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2006,2697.0
Agricultural Production Foodgrains Coarse Cereals Yield Rajasthan,"Annual, Ending mar Of Each Year",kg/ha,2006,669.0
Agricultural Production Foodgrains Coarse Cereals Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,2006,985.0
Agricultural Production Foodgrains Coarse Cereals Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2006,1383.0
Agricultural Production Foodgrains Coarse Cereals Yield Uttaranchal,"Annual, Ending mar Of Each Year",kg/ha,2006,1188.0
Agricultural Production Foodgrains Coarse Cereals Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,2006,2132.0
Agricultural Production Foodgrains,"Annual, Ending mar Of Each Year",Ton mn,2007,217.28212
Agricultural Production Foodgrains Kharif,"Annual, Ending mar Of Each Year",Ton mn,2007,110.57622
Agricultural Production Foodgrains Rabi,"Annual, Ending mar Of Each Year",Ton mn,2007,106.7059
Agricultural Production Foodgrains Rice,"Annual, Ending mar Of Each Year",Ton mn,2007,93.3553
Agricultural Production Foodgrains Rice Kharif,"Annual, Ending mar Of Each Year",Ton mn,2007,80.1708
Agricultural Production Foodgrains Rice Rabi,"Annual, Ending mar Of Each Year",Ton mn,2007,13.1845
Agricultural Production Foodgrains Wheat Rabi,"Annual, Ending mar Of Each Year",Ton mn,2007,75.8067
Agricultural Production Foodgrains Jowar,"Annual, Ending mar Of Each Year",Ton mn,2007,7.1508
Agricultural Production Foodgrains Jowar Kharif,"Annual, Ending mar Of Each Year",Ton mn,2007,3.7068
Agricultural Production Foodgrains Jowar Rabi,"Annual, Ending mar Of Each Year",Ton mn,2007,3.444
Agricultural Production Foodgrains Bajra Kharif,"Annual, Ending mar Of Each Year",Ton mn,2007,8.4237
Agricultural Production Foodgrains Maize,"Annual, Ending mar Of Each Year",Ton mn,2007,15.097
Agricultural Production Foodgrains Maize Kharif,"Annual, Ending mar Of Each Year",Ton mn,2007,11.5563
Agricultural Production Foodgrains Maize Rabi,"Annual, Ending mar Of Each Year",Ton mn,2007,3.5407
Agricultural Production Foodgrains Ragi Kharif,"Annual, Ending mar Of Each Year",Ton mn,2007,1.4436
Agricultural Production Foodgrains Small Millets Kharif,"Annual, Ending mar Of Each Year",Ton mn,2007,0.4796
Agricultural Production Foodgrains Barley Rabi,"Annual, Ending mar Of Each Year",Ton mn,2007,1.3279
Agricultural Production Foodgrains Coarse Cereals,"Annual, Ending mar Of Each Year",Ton mn,2007,33.9226
Agricultural Production Foodgrains Coarse Cereals Kharif,"Annual, Ending mar Of Each Year",Ton mn,2007,25.61
Agricultural Production Foodgrains Coarse Cereals Rabi,"Annual, Ending mar Of Each Year",Ton mn,2007,8.3126
Agricultural Production Foodgrains Cereals,"Annual, Ending mar Of Each Year",Ton mn,2007,203.0846
